010,294,B-0294,ILIVILEQ,0,102,,3922,NANORTALIK
010,294,B-0294,ILIVILEQ,0,103,,3922,NANORTALIK
010,294,B-0294,ILIVILEQ,0,104,,3922,NANORTALIK
010,294,B-0294,ILIVILEQ,0,2,,3922,NANORTALIK
010,294,B-0294,ILIVILEQ,0,3,,3922,NANORTALIK
010,294,B-0294,ILIVILEQ,0,4,,3922,NANORTALIK
010,295,B-0295,ILIVILEQ,0,,,3922,NANORTALIK
010,295,B-0295,ILIVILEQ,0,1,,3922,NANORTALIK
010,295,B-0295,ILIVILEQ,0,101,,3922,NANORTALIK
010,295,B-0295,ILIVILEQ,0,102,,3922,NANORTALIK
010,295,B-0295,ILIVILEQ,0,103,,3922,NANORTALIK
010,295,B-0295,ILIVILEQ,0,104,,3922,NANORTALIK
010,295,B-0295,ILIVILEQ,0,2,,3922,NANORTALIK
010,295,B-0295,ILIVILEQ,0,3,,3922,NANORTALIK
010,295,B-0295,ILIVILEQ,0,4,,3922,NANORTALIK
010,297,B-0297,ILIVILEQ,0,,,3922,NANORTALIK
010,505,B-0505,ILIVILEQ,0,,,3922,NANORTALIK
010,972,B-0972,ILIVILEQ,0,,,3922,NANORTALIK
010,972,B-0972,ILIVILEQ,0,1,,3922,NANORTALIK
010,972,B-0972,ILIVILEQ,0,101,,3922,NANORTALIK
010,972,B-0972,ILIVILEQ,0,102,,3922,NANORTALIK
010,972,B-0972,ILIVILEQ,0,103,,3922,NANORTALIK
010,972,B-0972,ILIVILEQ,0,104,,3922,NANORTALIK
010,972,B-0972,ILIVILEQ,0,105,,3922,NANORTALIK
010,972,B-0972,ILIVILEQ,0,2,,3922,NANORTALIK
010,972,B-0972,ILIVILEQ,0,3,,3922,NANORTALIK
010,972,B-0972,ILIVILEQ,0,4,,3922,NANORTALIK
010,972,B-0972,ILIVILEQ,0,5,,3922,NANORTALIK
010,991,B-0991,ILIVILEQ,0,,,3922,NANORTALIK
010,991,B-0991,ILIVILEQ,0,1,,3922,NANORTALIK
010,991,B-0991,ILIVILEQ,0,101,,3922,NANORTALIK
010,991,B-0991,ILIVILEQ,0,102,,3922,NANORTALIK
010,991,B-0991,ILIVILEQ,0,103,,3922,NANORTALIK
010,991,B-0991,ILIVILEQ,0,104,,3922,NANORTALIK
010,991,B-0991,ILIVILEQ,0,105,,3922,NANORTALIK
010,991,B-0991,ILIVILEQ,0,2,,3922,NANORTALIK
010,991,B-0991,ILIVILEQ,0,3,,3922,NANORTALIK
010,991,B-0991,ILIVILEQ,0,4,,3922,NANORTALIK
010,991,B-0991,ILIVILEQ,0,5,,3922,NANORTALIK
010,992,B-0992,ILIVILEQ,0,,,3922,NANORTALIK
010,992,B-0992,ILIVILEQ,0,1,,3922,NANORTALIK
010,992,B-0992,ILIVILEQ,0,101,,3922,NANORTALIK
010,992,B-0992,ILIVILEQ,0,102,,3922,NANORTALIK
010,992,B-0992,ILIVILEQ,0,109,,3922,NANORTALIK
010,992,B-0992,ILIVILEQ,0,2,,3922,NANORTALIK
010,992,B-0992,ILIVILEQ,0,3,,3922,NANORTALIK
010,992,B-0992,ILIVILEQ,0,4,,3922,NANORTALIK
010,992,B-0992,ILIVILEQ,0,5,,3922,NANORTALIK
010,992,B-0992,ILIVILEQ,0,6,,3922,NANORTALIK
010,992,B-0992,ILIVILEQ,0,7,,3922,NANORTALIK
010,992,B-0992,ILIVILEQ,0,8,,3922,NANORTALIK
010,992,B-0992,ILIVILEQ,0,9,,3922,NANORTALIK
010,1206,B-1206,ILIVILEQ,0,,,3922,NANORTALIK
010,1216,B-1216,ILIVILEQ,0,,,3922,NANORTALIK
010,1216,B-1216,ILIVILEQ,0,1,,3922,NANORTALIK
010,1216,B-1216,ILIVILEQ,0,101,,3922,NANORTALIK
010,1216,B-1216,ILIVILEQ,0,102,,3922,NANORTALIK
010,1216,B-1216,ILIVILEQ,0,103,,3922,NANORTALIK
010,1216,B-1216,ILIVILEQ,0,104,,3922,NANORTALIK
010,1216,B-1216,ILIVILEQ,0,105,,3922,NANORTALIK
010,1216,B-1216,ILIVILEQ,0,2,,3922,NANORTALIK
010,1216,B-1216,ILIVILEQ,0,3,,3922,NANORTALIK
010,1216,B-1216,ILIVILEQ,0,4,,3922,NANORTALIK
010,1216,B-1216,ILIVILEQ,0,5,,3922,NANORTALIK
010,1217,B-1217,ILIVILEQ,0,,,3922,NANORTALIK
010,1218,B-1218,ILIVILEQ,0,,,3922,NANORTALIK
010,1219,B-1219,ILIVILEQ,0,,,3922,NANORTALIK
010,1220,B-1220,ILIVILEQ,0,,,3922,NANORTALIK
010,1313,B-1313,ILIVILEQ,0,GADE,,3922,NANORTALIK
010,1344,B-1344,ILIVILEQ,0,,,3922,NANORTALIK
010,9004,B-9004,Indflyningslys,0,,,3922,NANORTALIK
010,9002,B-9002,Indsejlingslys,0,,,3922,NANORTALIK
010,9003,B-9003,Indsejlingslys,0,,,3922,NANORTALIK
010,1604,B-1604,ISAFJORDUR AQQ.,0,,,3922,NANORTALIK
010,1465,B-1465,ISAFJORDUR AQQUTAA,0,,,3922,NANORTALIK
010,1466,B-1466,ISAFJORDUR AQQUTAA,0,,,3922,NANORTALIK
010,1467,B-1467,ISAFJORDUR AQQUTAA,0,,,3922,NANORTALIK
010,1468,B-1468,ISAFJORDUR AQQUTAA,0,,,3922,NANORTALIK
010,1469,B-1469,ISAFJORDUR AQQUTAA,0,,,3922,NANORTALIK
010,1470,B-1470,ISAFJORDUR AQQUTAA,0,,,3922,NANORTALIK
010,1472,B-1472,ISAFJORDUR AQQUTAA,0,,,3922,NANORTALIK
010,1473,B-1473,ISAFJORDUR AQQUTAA,0,,,3922,NANORTALIK
010,1474,B-1474,ISAFJORDUR AQQUTAA,0,,,3922,NANORTALIK
010,1475,B-1475,ISAFJORDUR AQQUTAA,0,,,3922,NANORTALIK
010,1476,B-1476,Isafjordur aqqutaa,0,,,3922,NANORTALIK
010,1541,B-1541,ISAFJORDUR AQQUTAA,0,,,3922,NANORTALIK
010,1542,B-1542,ISAFJORDUR AQQUTAA,0,,,3922,NANORTALIK
010,1544,B-1544,ISAFJORDUR AQQUTAA,0,,,3922,NANORTALIK
010,1545,B-1545,ISAFJORDUR AQQUTAA,0,,,3922,NANORTALIK
010,1546,B-1546,ISAFJORDUR AQQUTAA,0,,,3922,NANORTALIK
010,1547,B-1547,ISAFJORDUR AQQUTAA,0,,,3922,NANORTALIK
010,1548,B-1548,ISAFJORDUR AQQUTAA,0,,,3922,NANORTALIK
010,1549,B-1549,ISAFJORDUR AQQUTAA,0,,,3922,NANORTALIK
010,1550,B-1550,ISAFJORDUR AQQUTAA,0,,,3922,NANORTALIK
010,1551,B-1551,ISAFJORDUR AQQUTAA,0,,,3922,NANORTALIK
010,1552,B-1552,ISAFJORDUR AQQUTAA,0,,,3922,NANORTALIK
010,1591,B-1591,ISAFJORDUR AQQUTAA,0,,,3922,NANORTALIK
010,1471,B-1471,ISAFJORDURIP AQQUTAA,0,,,3922,NANORTALIK
010,1524,B-1524,ISAFJORDURIP AQQUTAA,0,,,3922,NANORTALIK
010,1543,B-1543,ISAFJORDURIP AQQUTAA,0,,,3922,NANORTALIK
010,1589,B-1589,ISAFJORDURIP AQQUTAA,0,,,3922,NANORTALIK
010,1592,B-1592,ISAFJORDURIP AQQUTAA,0,,,3922,NANORTALIK
010,1593,B-1593,ISAFJORDURIP AQQUTAA,0,,,3922,NANORTALIK
010,1594,B-1594,ISAFJORDURIP AQQUTAA,0,,,3922,NANORTALIK
010,1595,B-1595,ISAFJORDURIP AQQUTAA,0,,,3922,NANORTALIK
010,1596,B-1596,ISAFJORDURIP AQQUTAA,0,,,3922,NANORTALIK
010,1597,B-1597,ISAFJORDURIP AQQUTAA,0,,,3922,NANORTALIK
010,1598,B-1598,ISAFJORDURIP AQQUTAA,0,,,3922,NANORTALIK
010,258,B-0258,ISUA,0,,,3922,NANORTALIK
010,264,B-0264,ISUA,0,,,3922,NANORTALIK
010,279,B-0279,ISUA,0,,,3922,NANORTALIK
010,283,B-0283,ISUA,0,,,3922,NANORTALIK
010,283,B-0283,ISUA,0,A+B,,3922,NANORTALIK
010,284,B-0284,ISUA,0,,,3922,NANORTALIK
010,284,B-0284,ISUA,0,A,,3922,NANORTALIK
010,284,B-0284,ISUA,0,B,,3922,NANORTALIK
010,286,B-0286,ISUA,0,,,3922,NANORTALIK
010,304,B-0304,ISUA,0,,,3922,NANORTALIK
010,400,B-0400,ISUA,0,,,3922,NANORTALIK
010,404,B-0404,ISUA,0,,,3922,NANORTALIK
010,404,B-0404,ISUA,0,B,,3922,NANORTALIK
010,404,B-0404,ISUA,0,C,,3922,NANORTALIK
010,437,B-0437,ISUA,0,,,3922,NANORTALIK
010,454,B-0454,ISUA,0,1 SAL.,,3922,NANORTALIK
010,454,B-0454,ISUA,0,ST,,3922,NANORTALIK
010,455,B-0455,ISUA,0,,,3922,NANORTALIK
010,455,B-0455,ISUA,0,INTER,,3922,NANORTALIK
010,462,B-0462,ISUA,0,,,3922,NANORTALIK
010,464,B-0464,ISUA,0,,,3922,NANORTALIK
010,977,B-0977,ISUA,0,,,3922,NANORTALIK
010,1073,B-1073,ISUA,0,,,3922,NANORTALIK
010,1093,B-1093,ISUA,0,,,3922,NANORTALIK
010,1100,B-1100,ISUA,0,,,3922,NANORTALIK
010,1127,B-1127,ISUA,0,,,3922,NANORTALIK
010,1179,B-1179,ISUA,0,,,3922,NANORTALIK
010,1179,B-1179,ISUA,0,INTER,,3922,NANORTALIK
010,1265,B-1265,ISUA,0,,,3922,NANORTALIK
010,1387,B-1387,ISUA,0,,,3922,NANORTALIK
010,1463,B-1463,ISUA,0,,,3922,NANORTALIK
010,1566,B-1566,ISUA,0,,,3922,NANORTALIK
010,1632,B-1632,ISUA,0,A,,3922,NANORTALIK
010,1632,B-1632,ISUA,0,B,,3922,NANORTALIK
010,1632,B-1632,ISUA,0,C,,3922,NANORTALIK
010,1632,B-1632,ISUA,0,D,,3922,NANORTALIK
010,1632,B-1632,ISUA,0,E,,3922,NANORTALIK
010,1632,B-1632,ISUA,0,FÆLLES,,3922,NANORTALIK
010,1662,B-1662,ISUA,0,,,3922,NANORTALIK
010,1665,B-1665,ISUA,0,,,3922,NANORTALIK
010,9007,B-9007,ISUA,0,,,3922,NANORTALIK
010,57159,B-7159,ISUA,0,,,3922,NANORTALIK
010,1215,B-1215,ISUA BYGGESTRØM,0,VED,,3922,NANORTALIK
010,653,B-0653,JARAAJAQ,0,,,3922,NANORTALIK
010,201,B-0201,JUUJUKAAT,0,,,3922,NANORTALIK
010,202,B-0202,JUUJUKAAT,0,,,3922,NANORTALIK
010,384,B-0384,JUUJUKAAT,0,A,,3922,NANORTALIK
010,384,B-0384,JUUJUKAAT,0,B,,3922,NANORTALIK
010,385,B-0385,JUUJUKAAT,0,A,,3922,NANORTALIK
010,385,B-0385,JUUJUKAAT,0,B,,3922,NANORTALIK
010,386,B-0386,JUUJUKAAT,0,A,,3922,NANORTALIK
010,386,B-0386,JUUJUKAAT,0,B,,3922,NANORTALIK
010,387,B-0387,JUUJUKAAT,0,A,,3922,NANORTALIK
010,387,B-0387,JUUJUKAAT,0,B,,3922,NANORTALIK
010,388,B-0388,JUUJUKAAT,0,A,,3922,NANORTALIK
010,388,B-0388,JUUJUKAAT,0,B,,3922,NANORTALIK
010,393,B-0393,JUUJUKAAT,0,,,3922,NANORTALIK
010,393,B-0393,JUUJUKAAT,0,B,,3922,NANORTALIK
010,394,B-0394,JUUJUKAAT,0,B,,3922,NANORTALIK
010,398,B-0398,JUUJUKAAT,0,A,,3922,NANORTALIK
010,398,B-0398,JUUJUKAAT,0,B,,3922,NANORTALIK
010,432,B-0432,JUUJUKAAT,0,,,3922,NANORTALIK
010,459,B-0459,JUUJUKAAT,0,,,3922,NANORTALIK
010,624,B-0624,JUUJUKAAT,0,,,3922,NANORTALIK
010,635,B-0635,JUUJUKAAT,0,B,,3922,NANORTALIK
010,641,B-0641,JUUJUKAAT,0,,,3922,NANORTALIK
010,1034,B-1034,JUUJUKAAT,0,,,3922,NANORTALIK
010,1098,B-1098,JUUJUKAAT,0,,,3922,NANORTALIK
010,14796072,B-6072,JUUJUKAAT A3,0,BYGGE,,3922,NANORTALIK
010,12,B-0012,KAKILISAGSIORFIK,0,,,3922,NANORTALIK
010,405,B-0405,KAKILISAGSIORFIK,0,,,3922,NANORTALIK
010,936,B-0936,KAKILISAGSIORFIK,0,,,3922,NANORTALIK
010,1199,B-1199,KAKILISAGSIORFIK,0,,,3922,NANORTALIK
010,1286,B-1286,KAKILISAGSIORFIK,0,GADE,,3922,NANORTALIK
010,1366,B-1366,KAKILISAGSIORFIK,0,,,3922,NANORTALIK
010,1398,B-1398,KAKILISAGSIORFIK,0,,,3922,NANORTALIK
010,9016,B-9016,KAKILISAGSIORFIK,0,,,3922,NANORTALIK
010,9021,B-9021,KAKILISAGSIORFIK,0,,,3922,NANORTALIK
010,393,B-0393,KALISTORFIP AQQ.,0,A,,3922,NANORTALIK
010,394,B-0394,KALISTORFIP AQQ.,0,A,,3922,NANORTALIK
010,394,B-0394,KALISTORFIP AQQ.,0,VK,,3922,NANORTALIK
010,482,B-0482,KALISTORFIP AQQ.,0,,,3922,NANORTALIK
010,921,B-0921,KALISTORFIP AQQ.,0,,,3922,NANORTALIK
010,922,B-0922,KALISTORFIP AQQ.,0,,,3922,NANORTALIK
010,923,B-0923,KALISTORFIP AQQ.,0,,,3922,NANORTALIK
010,924,B-0924,KALISTORFIP AQQ.,0,,,3922,NANORTALIK
010,935,B-0935,KALISTORFIP AQQ.,0,,,3922,NANORTALIK
010,935,B-0935,KALISTORFIP AQQ.,0,INTER,,3922,NANORTALIK
010,945,B-0945,KALISTORFIP AQQ.,0,,,3922,NANORTALIK
010,960,B-0960,KALISTORFIP AQQ.,0,,,3922,NANORTALIK
010,961,B-0961,KALISTORFIP AQQ.,0,,,3922,NANORTALIK
010,962,B-0962,KALISTORFIP AQQ.,0,,,3922,NANORTALIK
010,963,B-0963,KALISTORFIP AQQ.,0,,,3922,NANORTALIK
010,964,B-0964,KALISTORFIP AQQ.,0,,,3922,NANORTALIK
010,974,B-0974,KALISTORFIP AQQ.,0,,,3922,NANORTALIK
010,975,B-0975,KALISTORFIP AQQ.,0,,,3922,NANORTALIK
010,976,B-0976,KALISTORFIP AQQ.,0,,,3922,NANORTALIK
010,1009,B-1009,KALISTORFIP AQQ.,0,,,3922,NANORTALIK
010,1010,B-1010,KALISTORFIP AQQ.,0,,,3922,NANORTALIK
010,1035,B-1035,KALISTORFIP AQQ.,0,,,3922,NANORTALIK
010,1036,B-1036,KALISTORFIP AQQ.,0,,,3922,NANORTALIK
010,1070,B-1070,KALISTORFIP AQQ.,0,,,3922,NANORTALIK
010,1070,B-1070,KALISTORFIP AQQ.,0,INTER,,3922,NANORTALIK
010,1536,B-1536,KALISTORFIP AQQ.,0,,,3922,NANORTALIK
010,1537,B-1537,KALISTORFIP AQQ.,0,,,3922,NANORTALIK
010,6,B-0006,KIVFAP AQQ.,0,,,3922,NANORTALIK
010,18,B-0018,KIVFAP AQQ.,0,,,3922,NANORTALIK
010,686,B-0686,KIVFAP AQQ.,0,,,3922,NANORTALIK
010,4,B-0004,KIVFAP AQQ.,4,,,3922,NANORTALIK
010,2,B-0002,KIVFAP AQQ.,18,,,3922,NANORTALIK
010,8,B-0008,KIVFAP AQQUTAA,0,,,3922,NANORTALIK
010,21,B-0021,KIVFAP AQQUTAA,0,,,3922,NANORTALIK
010,7,B-0007,KIVFAP AQQUTAA,17,,,3922,NANORTALIK
010,200,B-0200,KLAPMUDSVEJ,0,,,3922,NANORTALIK
010,216,B-0216,KLAPMUDSVEJ,0,B,,3922,NANORTALIK
010,216,B-0216,KLAPMYDSVEJ,0,A,,3922,NANORTALIK
010,576,B-0576,KLAPMYDSVEJ,0,,,3922,NANORTALIK
010,608,B-0608,KLAPMYDSVEJ,0,,,3922,NANORTALIK
010,609,B-0609,KLAPMYDSVEJ,0,,,3922,NANORTALIK
010,610,B-0610,KLAPMYDSVEJ,0,,,3922,NANORTALIK
010,620,B-0620,KLAPMYDSVEJ,0,,,3922,NANORTALIK
010,621,B-0621,KLAPMYDSVEJ,0,,,3922,NANORTALIK
010,623,B-0623,KLAPMYDSVEJ,0,,,3922,NANORTALIK
010,625,B-0625,KLAPMYDSVEJ,0,,,3922,NANORTALIK
010,632,B-0632,KLAPMYDSVEJ,0,B,,3922,NANORTALIK
010,635,B-0635,KLAPMYDSVEJ,0,A,,3922,NANORTALIK
010,640,B-0640,KLAPMYDSVEJ,0,,,3922,NANORTALIK
010,1071,B-1071,KLAPMYDSVEJ,0,,,3922,NANORTALIK
010,1071,B-1071,KLAPMYDSVEJ,0,INTER,,3922,NANORTALIK
010,1091,B-1091,KLAPMYDSVEJ,0,,,3922,NANORTALIK
010,1437,B-1437,KLAPMYDSVEJ,0,,,3922,NANORTALIK
010,9,B-0009,KOLONIVEJ,0,,,3922,NANORTALIK
010,9,B-0009,KOLONIVEJ,0,B,,3922,NANORTALIK
010,10,B-0010,KOLONIVEJ,0,,,3922,NANORTALIK
010,11,B-0011,KOLONIVEJ,0,,,3922,NANORTALIK
010,17,B-0017,KOLONIVEJ,0,,,3922,NANORTALIK
010,9005,B-9005,KOLONIVEJ,0,,,3922,NANORTALIK
010,9009,B-9009,KOLONIVEJ,0,,,3922,NANORTALIK
010,1451,B-1451,LOUIS ANDREASSENIP AQQ.,0,,,3922,NANORTALIK
010,1495,B-1495,LOUIS ANDREASSENIP AQQ.,0,,,3922,NANORTALIK
010,1531,B-1531,LOUIS ANDREASSENIP AQQ.,0,,,3922,NANORTALIK
010,1556,B-1556,LOUIS ANDREASSENIP AQQ.,0,,,3922,NANORTALIK
010,1557,B-1557,LOUIS ANDREASSENIP AQQ.,0,,,3922,NANORTALIK
010,44,B-0044,LUNDIP AQQ.,0,,,3922,NANORTALIK
