Kommunekode,Vejkode,Lokalitetsnavn,Lokalitetsnummer
955,24,Nanortalik,100
955,30,Nanortalik,100
955,39,Nanortalik,100
955,43,Nanortalik,100
955,48,Nanortalik,100
955,53,Nanortalik,100
955,54,Nanortalik,100
955,64,Nanortalik,100
955,66,Nanortalik,100
955,74,Nanortalik,100
955,79,Nanortalik,100
955,86,Nanortalik,100
955,93,Nanortalik,100
955,99,Nanortalik,100
958,1,Aasiaat,1000
958,109,Aasiaat,1000
958,115,Aasiaat,1000
958,116,Aasiaat,1000
958,117,Aasiaat,1000
958,123,Aasiaat,1000
958,135,Aasiaat,1000
958,142,Aasiaat,1000
958,152,Aasiaat,1000
958,156,Aasiaat,1000
958,16,Aasiaat,1000
958,163,Aasiaat,1000
958,166,Aasiaat,1000
958,191,Aasiaat,1000
958,198,Aasiaat,1000
958,209,Aasiaat,1000
958,229,Aasiaat,1000
958,232,Aasiaat,1000
958,238,Aasiaat,1000
958,240,Aasiaat,1000
958,250,Aasiaat,1000
958,251,Aasiaat,1000
958,254,Aasiaat,1000
958,255,Aasiaat,1000
958,260,Aasiaat,1000
958,262,Aasiaat,1000
958,263,Aasiaat,1000
958,265,Aasiaat,1000
958,275,Aasiaat,1000
958,294,Aasiaat,1000
958,297,Aasiaat,1000
958,298,Aasiaat,1000
958,303,Aasiaat,1000
958,307,Aasiaat,1000
958,312,Aasiaat,1000
958,314,Aasiaat,1000
958,319,Aasiaat,1000
958,320,Aasiaat,1000
958,334,Aasiaat,1000
958,335,Aasiaat,1000
958,336,Aasiaat,1000
958,337,Aasiaat,1000
958,338,Aasiaat,1000
958,34,Aasiaat,1000
958,345,Aasiaat,1000
958,35,Aasiaat,1000
958,363,Aasiaat,1000
958,47,Aasiaat,1000
958,55,Aasiaat,1000
958,61,Aasiaat,1000
958,67,Aasiaat,1000
958,78,Aasiaat,1000
958,84,Aasiaat,1000
958,97,Aasiaat,1000
958,98,Aasiaat,1000
958,15,Akunnaaq,1003
958,165,Kitsissuarsuit,1004
955,4,Aappilattoq,102
955,118,Narsaq Kujalleq,103
955,135,Tasiusaq,104
955,182,Tasiusaq,104
955,196,Tasiusaq,104
955,160,Ammassivik,106
955,17,Ammassivik,106
955,172,Ammassivik,106
955,14,Alluitsup Paa,108
955,15,Alluitsup Paa,108
958,100,Qasigiannguit,1100
958,111,Qasigiannguit,1100
958,112,Qasigiannguit,1100
958,13,Qasigiannguit,1100
958,139,Qasigiannguit,1100
958,140,Qasigiannguit,1100
958,145,Qasigiannguit,1100
958,147,Qasigiannguit,1100
958,148,Qasigiannguit,1100
958,149,Qasigiannguit,1100
958,159,Qasigiannguit,1100
958,160,Qasigiannguit,1100
958,162,Qasigiannguit,1100
958,179,Qasigiannguit,1100
958,185,Qasigiannguit,1100
958,214,Qasigiannguit,1100
958,215,Qasigiannguit,1100
958,221,Qasigiannguit,1100
958,227,Qasigiannguit,1100
958,252,Qasigiannguit,1100
958,253,Qasigiannguit,1100
958,291,Qasigiannguit,1100
958,313,Qasigiannguit,1100
958,80,Qasigiannguit,1100
958,9,Qasigiannguit,1100
958,93,Qasigiannguit,1100
958,92,Ikamiut,1101
958,108,Ilulissat,1200
958,110,Ilulissat,1200
958,121,Ilulissat,1200
958,124,Ilulissat,1200
958,126,Ilulissat,1200
958,128,Ilulissat,1200
958,143,Ilulissat,1200
958,144,Ilulissat,1200
958,158,Ilulissat,1200
958,174,Ilulissat,1200
958,176,Ilulissat,1200
958,177,Ilulissat,1200
958,178,Ilulissat,1200
958,180,Ilulissat,1200
958,181,Ilulissat,1200
958,188,Ilulissat,1200
958,19,Ilulissat,1200
958,190,Ilulissat,1200
958,192,Ilulissat,1200
958,193,Ilulissat,1200
958,199,Ilulissat,1200
958,20,Ilulissat,1200
958,202,Ilulissat,1200
958,203,Ilulissat,1200
958,208,Ilulissat,1200
958,213,Ilulissat,1200
958,225,Ilulissat,1200
958,23,Ilulissat,1200
958,233,Ilulissat,1200
958,239,Ilulissat,1200
958,24,Ilulissat,1200
958,246,Ilulissat,1200
958,247,Ilulissat,1200
958,248,Ilulissat,1200
958,26,Ilulissat,1200
958,273,Ilulissat,1200
958,274,Ilulissat,1200
958,277,Ilulissat,1200
958,280,Ilulissat,1200
958,283,Ilulissat,1200
958,284,Ilulissat,1200
958,285,Ilulissat,1200
958,292,Ilulissat,1200
958,296,Ilulissat,1200
958,302,Ilulissat,1200
958,305,Ilulissat,1200
958,31,Ilulissat,1200
958,310,Ilulissat,1200
958,322,Ilulissat,1200
958,342,Ilulissat,1200
958,343,Ilulissat,1200
958,348,Ilulissat,1200
958,365,Ilulissat,1200
958,368,Ilulissat,1200
958,369,Ilulissat,1200
958,42,Ilulissat,1200
958,45,Ilulissat,1200
958,52,Ilulissat,1200
958,53,Ilulissat,1200
958,54,Ilulissat,1200
958,57,Ilulissat,1200
958,65,Ilulissat,1200
958,77,Ilulissat,1200
958,9901,Ilulissat,1200
958,222,Oqaatsut,1201
958,269,Qeqertaq,1202
958,299,Saqqaq,1203
958,101,Ilimanaq,1204
958,113,Qeqertarsuaq,1400
958,118,Qeqertarsuaq,1400
958,12,Qeqertarsuaq,1400
958,125,Qeqertarsuaq,1400
958,129,Qeqertarsuaq,1400
958,130,Qeqertarsuaq,1400
958,133,Qeqertarsuaq,1400
958,136,Qeqertarsuaq,1400
958,161,Qeqertarsuaq,1400
958,182,Qeqertarsuaq,1400
958,2,Qeqertarsuaq,1400
958,230,Qeqertarsuaq,1400
958,234,Qeqertarsuaq,1400
958,241,Qeqertarsuaq,1400
958,243,Qeqertarsuaq,1400
958,25,Qeqertarsuaq,1400
958,264,Qeqertarsuaq,1400
958,266,Qeqertarsuaq,1400
958,268,Qeqertarsuaq,1400
958,3,Qeqertarsuaq,1400
958,309,Qeqertarsuaq,1400
958,32,Qeqertarsuaq,1400
958,33,Qeqertarsuaq,1400
958,333,Qeqertarsuaq,1400
958,358,Qeqertarsuaq,1400
958,360,Qeqertarsuaq,1400
958,39,Qeqertarsuaq,1400
958,41,Qeqertarsuaq,1400
958,49,Qeqertarsuaq,1400
958,51,Qeqertarsuaq,1400
958,59,Qeqertarsuaq,1400
958,63,Qeqertarsuaq,1400
958,66,Qeqertarsuaq,1400
958,7,Qeqertarsuaq,1400
958,75,Qeqertarsuaq,1400
958,8,Qeqertarsuaq,1400
958,87,Qeqertarsuaq,1400
958,155,Kangerluk,1403
958,107,Uummannaq,1500
958,127,Uummannaq,1500
958,141,Uummannaq,1500
958,168,Uummannaq,1500
958,173,Uummannaq,1500
958,184,Uummannaq,1500
958,197,Uummannaq,1500
958,205,Uummannaq,1500
958,21,Uummannaq,1500
958,219,Uummannaq,1500
958,228,Uummannaq,1500
958,267,Uummannaq,1500
958,272,Uummannaq,1500
958,278,Uummannaq,1500
958,287,Uummannaq,1500
958,289,Uummannaq,1500
958,29,Uummannaq,1500
958,295,Uummannaq,1500
958,30,Uummannaq,1500
958,311,Uummannaq,1500
958,321,Uummannaq,1500
958,323,Uummannaq,1500
958,325,Uummannaq,1500
958,327,Uummannaq,1500
958,332,Uummannaq,1500
958,339,Uummannaq,1500
958,355,Uummannaq,1500
958,36,Uummannaq,1500
958,37,Uummannaq,1500
958,46,Uummannaq,1500
958,56,Uummannaq,1500
958,58,Uummannaq,1500
958,60,Uummannaq,1500
958,76,Uummannaq,1500
958,89,Uummannaq,1500
958,207,Niaqornat,1501
958,258,Qaarsut,1502
958,95,Ikerasak,1503
958,293,Saattut,1504
